original_title,belongs_to_collection,original_language,budget,popularity,production_countries,runtime,spoken_languages,vote_average,vote_count,revenue,Foreign,Science Fiction,Romance,Action,Crime,Thriller,Family,Fantasy,Western,War,Horror,History,Animation,Comedy,Adventure,Mystery,Documentary,Music,Drama,release_year,production_companies_count,crew,cast
Toy Story,1,1,30000000.0,21.946943,1,81.0,1,7.7,5415.0,373554033.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1995,1,106,13
Jumanji,0,1,65000000.0,17.015539,1,104.0,2,6.9,2413.0,262797249.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1995,3,16,26
Waiting to Exhale,0,1,16000000.0,3.859495,1,127.0,1,6.1,34.0,81452156.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,1,10,10
Heat,0,1,60000000.0,17.924927,1,170.0,2,7.7,1886.0,187436818.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,3,71,65
Sudden Death,0,1,35000000.0,5.23158,1,106.0,1,5.5,174.0,64350171.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,3,9,6
GoldenEye,1,1,58000000.0,14.686036,2,130.0,3,6.6,1194.0,352194034.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,2,46,20
The American President,0,1,62000000.0,6.318445,1,106.0,1,6.5,199.0,107879496.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,2,6,18
Nixon,0,1,44000000.0,5.092,1,192.0,1,7.1,72.0,13681765.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1995,2,8,34
Cutthroat Island,0,1,98000000.0,7.284477,4,119.0,2,5.7,137.0,10017322.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,4,16,31
Casino,0,1,52000000.0,10.137389,2,178.0,1,7.8,1343.0,116112375.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,4,10,45
Sense and Sensibility,0,1,16500000.0,10.673167,2,136.0,1,7.2,364.0,135000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,2,8,17
Four Rooms,0,1,4000000.0,9.026586,1,98.0,1,6.5,539.0,4300000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,2,88,24
Ace Ventura: When Nature Calls,1,1,30000000.0,8.205448,1,90.0,1,6.1,1128.0,212385533.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1995,3,11,15
Money Train,0,1,60000000.0,7.337906,1,103.0,1,5.4,224.0,35431113.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,1,44,15
