ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price,Inches_OpSys_Weight,Inches_Cpu_Gpu,Company_Cpu,Inches_OpSys_Weight_Inches_Cpu_Gpu
23,65,9,4,58,8,1490.2996862971945,2184,26390,65,57635760
1,63,9,2,51,8,1000.0,2016,22491,63,45341856
8,74,9,16,53,4,639.6422453111442,4200,54908,518,230613600
25,85,1,29,9,8,2822.7134180256744,7488,9945,85,74468160
23,67,9,16,59,8,2006.3630498142252,2184,27671,67,60433464
0,14,6,26,17,5,444.9685184773177,7490,3332,0,24956680
25,84,1,15,60,3,2380.548201214764,3588,65520,84,235085760
1,63,9,15,51,8,1288.96255589917,2016,22491,63,45341856
8,106,1,29,98,5,1663.0698378089749,2100,103880,212,218148000
15,83,9,16,61,5,856.5643980688365,3150,50630,0,159484500
0,74,6,26,53,4,438.18274857053854,4200,54908,518,230613600
8,56,6,26,47,4,383.7742229737246,4200,36848,392,154761600
25,86,1,16,10,8,2714.274590072752,7488,11180,86,83715840
8,56,6,16,24,5,554.9869846708344,8050,18816,224,151468800
22,51,9,16,52,8,1404.3206443144147,120,7956,51,954720
23,65,9,16,58,8,1689.2673593343268,2184,26390,65,57635760
8,97,9,16,24,5,828.7538656640041,8050,32592,388,262365600
25,87,1,29,11,8,3179.3000645204347,7488,12441,87,93158208
8,59,9,10,72,4,555.0982268004539,6440,59472,590,382999680
13,83,9,4,61,5,1089.060448973235,840,35441,332,29770440
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
15,77,9,5,75,5,1111.3088748971008,9170,80850,770,741394500
0,22,6,26,12,4,287.00469441786987,4200,3696,154,15523200
7,83,9,16,61,5,911.073041582308,2030,35441,332,71945230
8,106,9,16,53,5,733.0856341913808,5670,78652,742,445956840
0,56,6,10,47,5,465.7040514383607,8610,36848,224,317261280
1,62,9,2,51,3,1222.5510045164303,777,22134,62,17198118
8,83,9,16,7,5,889.9370369546353,8050,8134,332,65478700
8,107,9,19,61,5,1443.922842458896,5390,91378,428,492527420
8,83,9,10,69,5,996.7294813891916,10480,91632,581,960303360
8,29,6,35,40,5,272.5320933543951,5460,16240,87,88670400
0,20,4,23,12,5,221.37183794246556,3050,2400,40,7320000
8,8,6,26,7,5,488.3529490288561,11040,896,56,9891840
35,106,1,29,61,5,2079.115402585267,1155,45262,424,52277610
1,62,9,15,51,3,1110.1964536009075,777,22134,62,17198118
0,37,6,35,43,5,276.99290275213025,2300,15910,370,36593000
0,60,6,10,53,2,408.2586157029389,2996,44520,0,133381920
15,83,9,5,7,5,1089.060448973235,11680,9296,332,108577280
0,74,6,10,53,5,543.629163236701,5250,54908,518,288267000
8,83,9,16,70,5,977.8183193539056,7490,81340,581,609236600
8,56,6,10,53,2,432.7318842191914,4200,41552,112,174518400
15,102,1,18,79,5,1667.519522993748,9380,112812,408,1058176560
0,74,9,10,72,2,581.785213696131,3444,74592,148,256894848
15,83,6,16,61,5,758.6713240038266,8050,70882,0,570600100
7,83,0,10,63,5,1111.3088748971008,11360,83664,332,950423040
23,64,9,16,56,8,1578.525819298285,2184,25088,64,54792192
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,26,9,18,37,5,1445.035263755089,12400,15392,52,190860800
8,74,6,16,24,5,710.8372082675149,8610,24864,296,214079040
0,113,6,10,66,5,518.3883240260751,11680,119328,226,1393751040
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
15,106,9,16,98,5,935.5463100985604,8050,145432,0,1170727600
8,8,6,16,16,5,443.2887623200658,5250,1792,56,9408000
8,106,9,29,61,5,1227.000689701203,1750,45262,742,79208500
